Y1Co15Ti2            | TM ratio: 0.833 | 18 atoms
Y1Co15Ti3            | TM ratio: 0.789 | 19 atoms
Y1Co15Ti4            | TM ratio: 0.750 | 20 atoms
Y1Co16Ti1            | TM ratio: 0.889 | 18 atoms
Y1Co16Ti2            | TM ratio: 0.842 | 19 atoms
Y1Co16Ti3            | TM ratio: 0.800 | 20 atoms
Y1Co17Ti1            | TM ratio: 0.895 | 19 atoms
Y1Co17Ti2            | TM ratio: 0.850 | 20 atoms
Y1Co18Ti1            | TM ratio: 0.900 | 20 atoms
Y2Co9Ti1             | TM ratio: 0.750 | 12 atoms
Y2Co10Ti1            | TM ratio: 0.769 | 13 atoms
Y2Co11Ti1            | TM ratio: 0.786 | 14 atoms
Y2Co12Ti1            | TM ratio: 0.800 | 15 atoms
Y2Co13Ti1            | TM ratio: 0.812 | 16 atoms
Y2Co13Ti2            | TM ratio: 0.765 | 17 atoms
Y2Co14Ti1            | TM ratio: 0.824 | 17 atoms
Y2Co15Ti1            | TM ratio: 0.833 | 18 atoms
Y2Co15Ti2            | TM ratio: 0.789 | 19 atoms
Y2Co15Ti3            | TM ratio: 0.750 | 20 atoms
Y2Co16Ti1            | TM ratio: 0.842 | 19 atoms
Y2Co17Ti1            | TM ratio: 0.850 | 20 atoms
Y3Co12Ti1            | TM ratio: 0.750 | 16 atoms
Y3Co13Ti1            | TM ratio: 0.765 | 17 atoms
Y3Co14Ti1            | TM ratio: 0.778 | 18 atoms
Y3Co15Ti1            | TM ratio: 0.789 | 19 atoms
Y3Co15Ti2            | TM ratio: 0.750 | 20 atoms
Y3Co16Ti1            | TM ratio: 0.800 | 20 atoms
Y4Co15Ti1            | TM ratio: 0.750 | 20 atoms
Y1Co6V1              | TM ratio: 0.750 |  8 atoms
Y1Co7V1              | TM ratio: 0.778 |  9 atoms
Y1Co8V1              | TM ratio: 0.800 | 10 atoms
Y1Co9V1              | TM ratio: 0.818 | 11 atoms
Y1Co9V2              | TM ratio: 0.750 | 12 atoms
Y1Co10V1             | TM ratio: 0.833 | 12 atoms
Y1Co10V2             | TM ratio: 0.769 | 13 atoms
Y1Co11V1             | TM ratio: 0.846 | 13 atoms
Y1Co11V2             | TM ratio: 0.786 | 14 atoms
Y1Co12V1             | TM ratio: 0.857 | 14 atoms
Y1Co12V2             | TM ratio: 0.800 | 15 atoms
Y1Co12V3             | TM ratio: 0.750 | 16 atoms
Y1Co13V1             | TM ratio: 0.867 | 15 atoms
Y1Co13V2             | TM ratio: 0.812 | 16 atoms
Y1Co13V3             | TM ratio: 0.765 | 17 atoms
Y1Co14V1             | TM ratio: 0.875 | 16 atoms
Y1Co14V2             | TM ratio: 0.824 | 17 atoms
Y1Co14V3             | TM ratio: 0.778 | 18 atoms
Y1Co15V1             | TM ratio: 0.882 | 17 atoms
Y1Co15V2             | TM ratio: 0.833 | 18 atoms
Y1Co15V3             | TM ratio: 0.789 | 19 atoms
Y1Co15V4             | TM ratio: 0.750 | 20 atoms
Y1Co16V1             | TM ratio: 0.889 | 18 atoms
Y1Co16V2             | TM ratio: 0.842 | 19 atoms
Y1Co16V3             | TM ratio: 0.800 | 20 atoms
Y1Co17V1             | TM ratio: 0.895 | 19 atoms
Y1Co17V2             | TM ratio: 0.850 | 20 atoms
Y1Co18V1             | TM ratio: 0.900 | 20 atoms
Y2Co9V1              | TM ratio: 0.750 | 12 atoms
Y2Co10V1             | TM ratio: 0.769 | 13 atoms
Y2Co11V1             | TM ratio: 0.786 | 14 atoms
Y2Co12V1             | TM ratio: 0.800 | 15 atoms
Y2Co13V1             | TM ratio: 0.812 | 16 atoms
Y2Co13V2             | TM ratio: 0.765 | 17 atoms
Y2Co14V1             | TM ratio: 0.824 | 17 atoms
Y2Co15V1             | TM ratio: 0.833 | 18 atoms
Y2Co15V2             | TM ratio: 0.789 | 19 atoms
Y2Co15V3             | TM ratio: 0.750 | 20 atoms
Y2Co16V1             | TM ratio: 0.842 | 19 atoms
Y2Co17V1             | TM ratio: 0.850 | 20 atoms
Y3Co12V1             | TM ratio: 0.750 | 16 atoms
Y3Co13V1             | TM ratio: 0.765 | 17 atoms
Y3Co14V1             | TM ratio: 0.778 | 18 atoms
Y3Co15V1             | TM ratio: 0.789 | 19 atoms
Y3Co15V2             | TM ratio: 0.750 | 20 atoms
Y3Co16V1             | TM ratio: 0.800 | 20 atoms
Y4Co15V1             | TM ratio: 0.750 | 20 atoms
Y1Co6Cr1             | TM ratio: 0.750 |  8 atoms
Y1Co7Cr1             | TM ratio: 0.778 |  9 atoms
Y1Co8Cr1             | TM ratio: 0.800 | 10 atoms
Y1Co9Cr1             | TM ratio: 0.818 | 11 atoms
Y1Co9Cr2             | TM ratio: 0.750 | 12 atoms
Y1Co10Cr1            | TM ratio: 0.833 | 12 atoms
Y1Co10Cr2            | TM ratio: 0.769 | 13 atoms
Y1Co11Cr1            | TM ratio: 0.846 | 13 atoms
Y1Co11Cr2            | TM ratio: 0.786 | 14 atoms
Y1Co12Cr1            | TM ratio: 0.857 | 14 atoms
Y1Co12Cr2            | TM ratio: 0.800 | 15 atoms
Y1Co12Cr3            | TM ratio: 0.750 | 16 atoms
Y1Co13Cr1            | TM ratio: 0.867 | 15 atoms
Y1Co13Cr2            | TM ratio: 0.812 | 16 atoms
Y1Co13Cr3            | TM ratio: 0.765 | 17 atoms
Y1Co14Cr1            | TM ratio: 0.875 | 16 atoms
Y1Co14Cr2            | TM ratio: 0.824 | 17 atoms
Y1Co14Cr3            | TM ratio: 0.778 | 18 atoms
Y1Co15Cr1            | TM ratio: 0.882 | 17 atoms
Y1Co15Cr2            | TM ratio: 0.833 | 18 atoms
Y1Co15Cr3            | TM ratio: 0.789 | 19 atoms
Y1Co15Cr4            | TM ratio: 0.750 | 20 atoms
Y1Co16Cr1            | TM ratio: 0.889 | 18 atoms
Y1Co16Cr2            | TM ratio: 0.842 | 19 atoms
Y1Co16Cr3            | TM ratio: 0.800 | 20 atoms
Y1Co17Cr1            | TM ratio: 0.895 | 19 atoms
Y1Co17Cr2            | TM ratio: 0.850 | 20 atoms
Y1Co18Cr1            | TM ratio: 0.900 | 20 atoms
Y2Co9Cr1             | TM ratio: 0.750 | 12 atoms
Y2Co10Cr1            | TM ratio: 0.769 | 13 atoms
Y2Co11Cr1            | TM ratio: 0.786 | 14 atoms
Y2Co12Cr1            | TM ratio: 0.800 | 15 atoms
Y2Co13Cr1            | TM ratio: 0.812 | 16 atoms
Y2Co13Cr2            | TM ratio: 0.765 | 17 atoms
Y2Co14Cr1            | TM ratio: 0.824 | 17 atoms
Y2Co15Cr1            | TM ratio: 0.833 | 18 atoms
Y2Co15Cr2            | TM ratio: 0.789 | 19 atoms
Y2Co15Cr3            | TM ratio: 0.750 | 20 atoms
Y2Co16Cr1            | TM ratio: 0.842 | 19 atoms
Y2Co17Cr1            | TM ratio: 0.850 | 20 atoms
Y3Co12Cr1            | TM ratio: 0.750 | 16 atoms
Y3Co13Cr1            | TM ratio: 0.765 | 17 atoms
Y3Co14Cr1            | TM ratio: 0.778 | 18 atoms
Y3Co15Cr1            | TM ratio: 0.789 | 19 atoms
Y3Co15Cr2            | TM ratio: 0.750 | 20 atoms
Y3Co16Cr1            | TM ratio: 0.800 | 20 atoms
Y4Co15Cr1            | TM ratio: 0.750 | 20 atoms
Y1Co6Mn1             | TM ratio: 0.750 |  8 atoms
Y1Co7Mn1             | TM ratio: 0.778 |  9 atoms
Y1Co8Mn1             | TM ratio: 0.800 | 10 atoms
Y1Co9Mn1             | TM ratio: 0.818 | 11 atoms
Y1Co9Mn2             | TM ratio: 0.750 | 12 atoms
Y1Co10Mn1            | TM ratio: 0.833 | 12 atoms
Y1Co10Mn2            | TM ratio: 0.769 | 13 atoms
Y1Co11Mn1            | TM ratio: 0.846 | 13 atoms
Y1Co11Mn2            | TM ratio: 0.786 | 14 atoms
Y1Co12Mn1            | TM ratio: 0.857 | 14 atoms
Y1Co12Mn2            | TM ratio: 0.800 | 15 atoms
Y1Co12Mn3            | TM ratio: 0.750 | 16 atoms
Y1Co13Mn1            | TM ratio: 0.867 | 15 atoms
Y1Co13Mn2            | TM ratio: 0.812 | 16 atoms
Y1Co13Mn3            | TM ratio: 0.765 | 17 atoms
Y1Co14Mn1            | TM ratio: 0.875 | 16 atoms
Y1Co14Mn2            | TM ratio: 0.824 | 17 atoms
Y1Co14Mn3            | TM ratio: 0.778 | 18 atoms
Y1Co15Mn1            | TM ratio: 0.882 | 17 atoms
Y1Co15Mn2            | TM ratio: 0.833 | 18 atoms
Y1Co15Mn3            | TM ratio: 0.789 | 19 atoms
Y1Co15Mn4            | TM ratio: 0.750 | 20 atoms
Y1Co16Mn1            | TM ratio: 0.889 | 18 atoms
Y1Co16Mn2            | TM ratio: 0.842 | 19 atoms
