chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Fe-Mn,mp-1096950,Fe,0.476699,0.476699,False,0.528501,0.528501,False,
Fe-Mn,mp-1191484,Mn,0.806585,0.806585,False,0.862849,0.862849,False,
Fe-Mn,mp-1194030,Fe,0.175289,0.175289,False,0.174391,0.174391,False,
Fe-Mn,mp-1221628,MnFe3,0.065649,0.065649,False,0.138688,0.138688,False,
Fe-Mn,mp-1221635,MnFe4,0.035551,0.035551,False,0.038045,0.038045,False,
Fe-Mn,mp-1221991,Mn7Fe3,0.087501,0.087501,False,0.083913,0.083913,False,
Fe-Mn,mp-1245108,Fe,0.279455,0.279455,False,0.19178,0.19178,False,
Fe-Mn,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-Mn,mp-1271128,Fe,0.099135,0.099135,False,0.128021,0.128021,False,
Fe-Mn,mp-1271198,Fe,0.054992,0.054992,False,0.137537,0.137537,False,
Fe-Mn,mp-13,Fe,0.0,0.0,True,0.0,0.0,True,
Fe-Mn,mp-136,Fe,0.097806,0.097806,False,0.139941,0.139941,False,
Fe-Mn,mp-150,Fe,0.148365,0.148365,False,0.135906,0.135906,False,
Fe-Mn,mp-2647025,Mn,0.052632,0.052632,False,0.046323,0.046323,False,
Fe-Mn,mp-35,Mn,0.0,0.0,True,0.0,0.0,True,
Fe-Mn,mp-542909,Mn,0.052947,0.052947,False,0.036828,0.036828,False,
Fe-Mn,mp-568345,Fe,0.761412,0.761412,False,0.725552,0.725552,False,
Fe-Mn,mp-8634,Mn,0.083098,0.083098,False,0.055075,0.055075,False,
Fe-Mn,mp-999542,MnFe3,0.051221,0.051221,False,0.053131,0.053131,False,
Fe-Mn,mp-999545,Mn3Fe,0.118937,0.118937,False,0.073473,0.073473,False,
Fe-Ti,mp-1096950,Fe,0.476699,0.476699,False,0.528501,0.528501,False,
Fe-Ti,mp-1192216,Ti2Fe,-0.21487,0.065683,False,-0.208918,0.086668,False,
Fe-Ti,mp-1194030,Fe,0.175289,0.175289,False,0.174391,0.174391,False,
Fe-Ti,mp-1216834,TiFe,-0.113649,0.307181,False,-0.443379,1e-06,True,GAINED
Fe-Ti,mp-1216986,TiFe4,0.125868,0.295899,False,-0.150141,0.027211,False,
Fe-Ti,mp-1217161,Ti4Fe,-0.003614,0.164718,False,-0.166396,0.010956,False,
Fe-Ti,mp-1217177,Ti3Fe,0.041433,0.251848,False,-0.028128,0.193562,False,
